timestep,total_heat_loss_network,total_pump_power_network
0,4563683.523850289,[117553.39569452      0.        ]
1,4560206.389886362,[118114.3879941      0.       ]
2,4573253.218095006,[116035.82222237      0.        ]
3,4565221.59351198,[117307.26823385      0.        ]
4,4576249.971317079,[124416.20542472      0.        ]
5,4572335.882919358,[125086.31598661      0.        ]
6,4551569.848495957,[128701.67586765      0.        ]
7,4539210.190097559,[131240.8688151      0.       ]
8,4545514.806895427,[134780.90073486      0.        ]
9,4552169.351596496,[133482.77787328      0.        ]
10,4546521.35832879,[134582.9051158      0.       ]
11,4535605.770576751,[136779.92278556      0.        ]
12,4540851.611750314,[143816.4089838      0.       ]
13,4526761.975305469,[146914.92081853      0.        ]
14,4512990.677451433,[150073.85148776      0.        ]
15,4515754.871121801,[149424.26566598      0.        ]
16,4498711.455327268,[172341.84767475      0.        ]
17,4505025.213436791,[170631.49989921      0.        ]
18,4520258.583300456,[166620.09047417      0.        ]
19,4526844.9006446265,[164932.77366302      0.        ]
20,4544462.191594904,[216692.15908271      0.        ]
21,4536898.84202699,[219288.76460401      0.        ]
22,4560031.148656505,[211532.10904722      0.        ]
23,4566296.712423732,[209524.79486873      0.        ]
24,4548003.693746176,[203230.97767147      0.        ]
25,4548012.643480893,[203229.05230484      0.        ]
26,4549359.281027105,[202805.3132108      0.       ]
27,4526308.288189859,[210331.59238477      0.        ]
28,4559776.293530734,[187795.84236654      0.        ]
29,4547120.996237478,[191471.29163688      0.        ]
30,4538351.271418117,[194110.69223437      0.        ]
31,4523284.666533696,[198819.98622563      0.        ]
32,4509730.500405499,[227234.44445008      0.        ]
33,4528205.936214257,[220222.20863106      0.        ]
34,4513736.872711722,[225678.72071616      0.        ]
35,4495901.697790414,[232781.03219364      0.        ]
36,4494734.630284459,[254044.94919469      0.        ]
37,4512221.308299378,[246138.60282661      0.        ]
38,4507658.09825053,[248156.49794797      0.        ]
39,4536721.334533012,[235805.29502372      0.        ]
40,4525177.882127841,[230147.20733996      0.        ]
41,4536258.095485765,[225815.94124391      0.        ]
42,4527958.444064774,[229044.4264763      0.       ]
43,4522555.677016297,[231196.69809742      0.        ]
44,4516457.632920765,[234148.13004297      0.        ]
45,4523953.411576603,[231121.29199746      0.        ]
46,4511522.32860409,[236188.43098813      0.        ]
47,4521077.421082083,[232277.77325751      0.        ]
48,4513194.94700246,[210194.52703993      0.        ]
49,4525291.286866249,[206005.49392508      0.        ]
50,4512267.0378051605,[210519.87926415      0.        ]
51,4525256.199558941,[206017.95670004      0.        ]
52,4492865.726819919,[193428.26033474      0.        ]
53,4478112.945581915,[198259.67425135      0.        ]
54,4500289.114270034,[191077.31981379      0.        ]
55,4468109.19002552,[201667.92459599      0.        ]
56,4481572.419663363,[188806.48182569      0.        ]
57,4476507.510736104,[190404.41530909      0.        ]
58,4451494.74307803,[198679.15806772      0.        ]
59,4455044.353192855,[197468.29744722      0.        ]
60,4452467.858976735,[198855.12943466      0.        ]
61,4413664.178528071,[212763.55630772      0.        ]
62,4429467.954359764,[206974.30730821      0.        ]
63,4433925.642507832,[205367.07843489      0.        ]
64,4398663.89235531,[150061.61349246      0.        ]
65,4390390.2887552865,[152062.48520818      0.        ]
66,4415222.167017107,[146202.29975537      0.        ]
67,4406494.669456772,[148216.39694697      0.        ]
68,4432110.021613297,[161316.24392693      0.        ]
69,4440771.656512388,[159131.52294513      0.        ]
70,4463145.808833619,[153787.87836776      0.        ]
71,4473565.506881379,[151434.54100622      0.        ]
72,4488970.308514397,[149308.99521459      0.        ]
73,4484220.278983062,[150352.35647567      0.        ]
74,4461538.126304005,[155478.65677502      0.        ]
75,4454037.594190656,[157257.39003712      0.        ]
76,4479374.820001894,[167099.68667378      0.        ]
77,4489488.12407953,[164536.80617496      0.        ]
78,4496075.158859876,[162916.86605111      0.        ]
79,4514108.179989575,[158659.55432336      0.        ]
80,4508644.592420487,[158848.18638169      0.        ]
81,4501282.457487375,[160556.34088501      0.        ]
82,4511399.611034583,[158183.37913364      0.        ]
83,4468537.540020897,[168774.76571977      0.        ]
84,4472621.015635306,[159456.08990859      0.        ]
85,4475489.707424249,[158757.92113439      0.        ]
86,4481506.598824903,[157310.04431223      0.        ]
87,4469275.233192644,[160287.67109867      0.        ]
88,4457284.207937732,[163562.71339004      0.        ]
89,4487689.667071136,[156006.99489763      0.        ]
90,4495464.292520647,[154189.87369797      0.        ]
91,4486921.095203293,[156191.93386201      0.        ]
92,4481324.492367075,[135028.89199646      0.        ]
93,4461296.646299339,[139294.07826396      0.        ]
94,4453607.593680034,[141016.78757103      0.        ]
95,4447813.01036872,[142334.76817866      0.        ]
96,4445127.204463489,[142506.46152303      0.        ]
